spanner_method;dim;n_points;epsilon;point_method;n_edges;sparseness
random;4;100;0.5;get_points;1386;0.28
quasi;4;100;0.5;get_points;642;0.1296969696969697
greedy;4;100;0.2;get_uniform_points;1056;0.21333333333333335
random;4;100;0.2;get_uniform_points;2568;0.5187878787878788
quasi;4;100;0.2;get_uniform_points;1527;0.3084848484848485
greedy;4;100;0.5;get_exponential_points;156;0.03151515151515152
random;4;100;0.5;get_exponential_points;529;0.10686868686868686
quasi;4;100;0.5;get_exponential_points;218;0.04404040404040404
greedy;4;100;2.0;get_uniform_points;150;0.030303030303030304
random;4;100;2.0;get_uniform_points;464;0.09373737373737374
quasi;4;100;2.0;get_uniform_points;202;0.04080808080808081
greedy;4;100;2.0;get_points;140;0.028282828282828285
random;4;100;2.0;get_points;449;0.09070707070707071
quasi;4;100;2.0;get_points;192;0.03878787878787879
greedy;4;100;2.0;get_exponential_points;106;0.021414141414141413
random;4;100;2.0;get_exponential_points;337;0.06808080808080808
quasi;4;100;2.0;get_exponential_points;121;0.024444444444444446
greedy;4;100;0.5;get_uniform_points;409;0.08262626262626263
random;4;100;0.5;get_uniform_points;1310;0.26464646464646463
quasi;4;100;0.5;get_uniform_points;591;0.1193939393939394
greedy;4;200;0.01;get_exponential_points;6100;0.3065326633165829
random;4;200;0.01;get_exponential_points;10016;0.5033165829145728
quasi;4;200;0.01;get_exponential_points;7360;0.3698492462311558
greedy;4;200;0.01;get_points;17517;0.880251256281407
random;4;200;0.01;get_points;18994;0.9544723618090453
quasi;4;200;0.01;get_points;18118;0.9104522613065327
greedy;4;200;0.01;get_uniform_points;18126;0.9108542713567839
random;4;200;0.01;get_uniform_points;19323;0.9710050251256281
quasi;4;200;0.01;get_uniform_points;18636;0.9364824120603015
greedy;4;200;0.1;get_points;5414;0.2720603015075377
random;4;200;0.1;get_points;11374;0.5715577889447236
quasi;4;200;0.1;get_points;7187;0.36115577889447237
greedy;4;200;0.1;get_exponential_points;1315;0.06608040201005025
random;4;200;0.1;get_exponential_points;4075;0.20477386934673367
quasi;4;200;0.1;get_exponential_points;1884;0.09467336683417085
greedy;4;200;0.1;get_uniform_points;5605;0.28165829145728644
random;4;200;0.1;get_uniform_points;11665;0.5861809045226131
quasi;4;200;0.1;get_uniform_points;7287;0.36618090452261304
greedy;4;200;0.2;get_uniform_points;2622;0.13175879396984924
random;4;200;0.2;get_uniform_points;7943;0.39914572864321607
quasi;4;200;0.2;get_uniform_points;3943;0.19814070351758795
greedy;4;200;0.2;get_points;2729;0.1371356783919598
random;4;200;0.2;get_points;7700;0.3869346733668342
quasi;4;200;0.2;get_points;3835;0.192713567839196
greedy;4;200;0.2;get_exponential_points;810;0.0407035175879397
